token,tokenToMatch,endReason,tag,tagIndex
Pem,pem,s,,
she,she,s,considrd,0
hight,hight,n,,
A,a,s,considrd,0
solemn,solemn,s,strd,0
Wight,wight,n,,
As,as,s,considrd,0
you,you,s,considrd,0
should,should,s,,
meet,meet,n,,
In,in,s,considrd,0
any,any,s,,
street,street,c,,
",",",",n,,
In,in,s,considrd,0
that,that,s,considrd,0
Ubiquitie,ubiquitie,c,,
.,.,n,,
Her,her,c,,
",",",",s,,
he,he,s,considrd,0
has,has,s,strd,0
brought,brought,n,,
As,as,s,considrd,0
having,having,s,,
sought,sought,n,,
By,by,s,considrd,0
many,many,s,,
a,a,s,considrd,0
draught,draught,n,,
Of,of,s,considrd,0
Ale,ale,c,,
",",",",s,,
and,and,s,,
Craft,craft,c,,
;,;,n,,
With,with,s,considrd,0
skill,skill,s,,
to,to,s,considrd,0
graft,graft,n,,
In,in,s,considrd,0
some,some,s,,
old,old,s,,
Stock,stock,c,,
",",",",n,,
OF,of,s,strd,0
the,the,s,considrd,0
Yeoman,yeoman,s,,
block,block,c,,
",",",",n,,
And,and,s,,
Forrest-blood,forrest-blood,c,,
",",",",n,,
Of,of,s,considrd,0
old,old,s,,
Sherewood,sherewood,c,,
.,.,n,,
And,and,s,,
he,he,s,considrd,0
has,has,s,strd,0
found,found,n,,
Within,within,s,,
the,the,s,considrd,0
ground,ground,c,,
",",",",n,,
At,at,s,considrd,0
last,last,s,,
no,no,s,considrd,0
Shrimpe,shrimpe,c,,
",",",",n,,
Whereon,whereon,s,,
to,to,s,considrd,0
impe,impe,c,,
",",",",n,,
His,his,s,considrd,0
jolly,jolly,s,,
Club,club,c,,
",",",",n,,
But,but,s,,
a,a,s,considrd,0
bold,bold,s,,
Stub,stub,n,,
OF,of,s,strd,0
the,the,s,considrd,0
right,right,s,,
wood,wood,c,,
",",",",nn,,
A,a,s,considrd,0
Champion,champion,s,,
good,good,c,,
;,;,n,,
Who,who,s,considrd,0
here,here,s,,
in,in,s,considrd,0
place,place,c,,
",",",",n,,
Presents,presents,s,,
himself,himself,c,strd,0
",",",",n,,
Like,like,s,,
doughtie,doughtie,s,,
Elfe,elfe,c,,
",",",",n,,
Of,of,s,considrd,0
Greenwood,greenwood,s,,
Chase,chase,c,,
.,.,nn,,
Here,here,s,,
Stub,stub,s,,
the,the,s,considrd,0
Bridegroom,bridegroom,s,strd,0
presented,presented,s,,
himself,himself,c,strd,0
",",",",s,,
being,being,s,,
apparelled,apparelled,s,,
in,in,s,considrd,0
a,a,s,considrd,0
yellow,yellow,n,,
Canvas,canvas,s,,
Doublet,doublet,c,,
",",",",s,,
cut,cut,c,,
",",",",s,,
a,a,s,considrd,0
green,green,s,strd,0
Jerkin,jerkin,c,,
",",",",s,,
and,and,s,,
Hose,hose,c,,
",",",",s,,
like,like,s,,
a,a,s,considrd,0
Ranger,ranger,c,,
.,.,s,,
A,a,s,considrd,0
Munmouth,munmouth,s,,
Cap,cap,c,,
",",",",n,,
with,with,s,considrd,0
a,a,s,considrd,0
yellow,yellow,s,,
Feather,feather,c,,
",",",",s,,
yellow,yellow,s,,
Stockings,stockings,c,,
",",",",s,,
and,and,s,,
Shoes,shoes,c,strd,0
",",",",s,,
for,for,s,considrd,0
being,being,s,,
to,to,s,considrd,0
dance,dance,c,,
",",",",s,,
he,he,n,considrd,0
would,would,s,,
not,not,s,,
trouble,trouble,s,,
himself,himself,s,strd,0
with,with,s,considrd,0
Boots,boots,nn,strd,0
Stub,stub,s,,
of,of,s,considrd,0
Stub-hall,stub-hall,c,,
",",",",n,,
Some,some,s,,
do,do,s,strd,0
him,him,s,,
call,call,c,,
;,;,n,,
But,but,s,,
most,most,s,,
do,do,s,strd,0
say,say,n,,
He,he,s,strd,0
Is,is,s,strd,1
Stub,stub,c,,
",",",",s,,
will,will,s,,
stay,stay,c,,
;,;,n,,
To,to,s,considrd,0
run,run,s,,
his,his,s,considrd,0
race,race,c,,
",",",",n,,
Not,not,s,,
run,run,s,,
away,away,nn,,
At,at,s,considrd,0
Quintin,quintin,c,,
",",",",s,,
he,he,c,strd,0
",",",",n,,
In,in,s,considrd,0
honor,honor,s,strd,0
of,of,s,considrd,0
this,this,s,considrd,0
Bridaltee,bridaltee,c,,
",",",",n,,
Has,has,s,strd,0
challenged,challenged,s,strd,0
either,either,s,,
wide,wide,s,,
Countee,countee,c,,
;,;,n,,
Come,come,s,,
Cut,cut,c,,
",",",",s,,
and,and,s,,
Long-taile,long-taile,c,,
.,.,s,,
For,for,s,considrd,0
there,there,s,considrd,0
be,be,n,considrd,0
Six,six,s,strd,0
Batchelers,batchelers,c,,
",",",",s,,
as,as,s,considrd,0
bold,bold,s,,
as,as,s,considrd,0
he,he,c,strd,0
",",",",n,,
Adjuting,adjuting,s,,
to,to,s,considrd,0
his,his,s,considrd,0
Companee,companee,c,,
",",",",n,,
And,and,s,,
each,each,s,,
one,one,s,,
has,has,s,strd,0
his,his,s,considrd,0
Liverie,liverie,c,,
;,;,nn,,
Six,six,s,strd,0
Hoods,hoods,s,,
they,they,s,considrd,0
are,are,c,,
",",",",s,,
and,and,s,,
of,of,s,considrd,0
the,the,s,considrd,0
blood,blood,c,,
",",",",n,,
They,they,s,considrd,0
tell,tell,s,,
of,of,s,considrd,0
ancient,ancient,s,,
Robinhood,robinhood,c,,
.,.,n,,
Here,here,s,,
the,the,s,considrd,0
six,six,s,strd,0
Hoods,hoods,s,,
presented,presented,s,,
themselves,themselves,s,,
severally,severally,c,,
",",",",s,,
in,in,s,considrd,0
their,their,s,considrd,0
Livory,livory,s,,
Hoods,hoods,c,,
",",",",n,,
whilst,whilst,s,strd,0
FitZ-ale,fitz-ale,s,,
spoke,spoke,s,,
on,on,nn,,
Red-hood,red-hood,s,,
the,the,s,considrd,0
first,first,s,,
that,that,s,considrd,0
does,does,s,strd,0
appear,appear,n,strd,0
In,in,s,considrd,0
Stamel,stamel,c,,
.,.,nn,,
Scarlet,scarlet,s,,
is,is,s,considrd,0
too,too,s,,
dear,dear,c,strd,0
.,.,nn,,
Then,then,s,,
Green-hood,green-hood,c,,
.,.,nn,,
He,he,s,strd,0
Is,is,s,strd,1
in,in,s,considrd,0
Kendal,kendal,s,,
Green,green,c,,
",",",",n,,
As,as,s,considrd,0
in,in,s,considrd,0
the,the,s,considrd,0
Forest,forest,s,strd,0
Color,color,s,strd,0
seen,seen,c,strd,0
.,.,nn,,
Next,next,s,,
Blew-hood,blew-hood,s,,
is,is,c,considrd,0
",",",",s,,
and,and,s,,
in,in,s,considrd,0
that,that,s,considrd,0
hue,hue,n,,
Does,does,s,strd,0
vaunt,vaunt,s,,
a,a,s,considrd,0
heart,heart,s,,
as,as,s,considrd,0
pure,pure,c,,
",",",",s,,
and,and,s,,
true,true,n,,
As,as,s,considrd,0
is,is,s,considrd,0
the,the,s,considrd,0
Sky,sky,c,strd,0
;,;,s,,
(,(,c,,
give,give,s,,
him,him,s,,
his,his,s,considrd,0
due,due,c,,
.),.),nn,,
Of,of,s,considrd,0
old,old,s,,
England,england,s,,
the,the,s,considrd,0
